Index,OperationEndTime,ToolId,Machine,Process,P1DataPoint1,P1DataPoint2,P2DataPoint1,P2DataPoint2,P3DataPoint1,P3DataPoint2,P4DataPoint1,P4DataPoint2,P5DataPoint1,P5DataPoint2,P6DataPoint1,P6DataPoint2,P7DataPoint1,P7DataPoint2,P8DataPoint1,P8DataPoint2
0,0,0,0,0,2.47,2.964,1.482,0.988,7.904,3.952,3.952,0.988,22.724,6.916,13.832,1.976,25.688,1.976,19.76,1.976
1,15,1,1,1,-0.492,0.984,-4.432,8.864,1.97,0,1.97,6.895,15.76,0.985,16.745,0,27.58,3.94,25.61,0
2,85,0,0,0,-2.47,4.94,-0.988,2.47,1.976,5.928,7.904,3.952,16.796,5.928,16.796,2.964,25.688,0,20.748,0.988
3,114,2,2,2,0.493,0,-1.974,1.481,2.961,2.961,3.948,1.974,15.792,3.948,16.779,2.961,25.662,1.974,22.701,0.987
4,228,0,0,0,1.482,3.952,-0.494,0.494,3.952,1.976,4.94,2.964,16.796,0,14.82,1.976,23.712,1.976,21.736,0.988
5,238,1,1,1,-3.94,3.448,-0.492,3.94,3.94,1.97,10.835,8.865,17.73,1.97,23.64,6.895,26.595,0.985,27.58,1.97
6,361,1,1,1,3.94,7.88,3.447,3.939,6.895,2.955,8.865,1.97,21.67,3.94,24.625,0.985,22.655,3.94,25.61,1.97
7,375,0,0,0,0.988,0.494,0,0.494,2.964,0.988,2.964,1.976,14.82,1.976,12.844,1.976,22.724,0.988,20.748,0.988
8,485,0,0,0,-2.47,3.458,0.494,0.494,2.964,0,4.94,1.976,15.808,0.988,13.832,0.988,23.712,0.988,19.76,0.988
9,497,1,1,1,-0.985,4.925,2.462,0.985,1.97,4.925,0,8.865,17.73,3.94,20.685,3.94,30.535,7.88,37.43,11.82
10,526,2,2,2,3.454,2.961,-0.493,1.481,2.961,0,0.987,2.961,15.792,0,12.831,3.948,23.688,1.974,23.688,0.987
11,620,0,0,0,0.988,3.458,-1.482,1.976,3.952,0.988,0.988,3.952,16.796,0.988,13.832,0,24.7,0.988,23.712,3.952
12,740,0,0,0,1.482,0.494,2.964,4.446,1.976,1.976,5.928,4.94,14.82,1.976,15.808,1.976,23.712,0.988,20.748,2.964
13,745,2,2,2,3.454,0,-0.493,0,2.961,0,0.987,0,15.792,0,12.831,0,23.688,0,23.688,0
14,862,0,0,0,-0.494,1.976,-0.494,3.458,2.964,0.988,3.952,1.976,13.832,0.988,14.82,0.988,23.712,0,21.736,0.988
15,1001,0,0,0,-0.494,0,0,0.494,2.964,0,4.94,0.988,15.808,1.976,14.82,0,25.688,1.976,20.748,0.988
16,1039,1,1,1,0.492,1.477,0.985,1.477,0,1.97,0.985,0.985,12.805,4.925,15.76,4.925,25.61,4.925,30.535,6.895
17,1114,0,0,0,0.494,0.988,-0.494,0.494,1.976,0.988,1.976,2.964,13.832,1.976,12.844,1.976,23.712,1.976,21.736,0.988
18,1165,1,1,1,2.462,1.97,-1.97,2.955,0.985,0.985,3.94,2.955,15.76,2.955,15.76,0,27.58,1.97,28.565,1.97
19,1261,0,0,0,-0.494,0.988,0,0.494,3.952,1.976,7.904,5.928,15.808,1.976,17.784,4.94,23.712,0,20.748,0.988
20,1399,0,0,0,-0.494,0,0,0,3.952,0,5.928,1.976,15.808,0,15.808,1.976,23.712,0,20.748,0